12.42,40.24,1016.59,90.01,469.59
20.94,58.16,1016.88,65.43,455.16
22.48,50.05,1005.55,82.36,442.56
32.31,66.44,1009.6,63.92,428.44
11.64,38.25,1013.33,85.79,472.34
10.25,41.46,1020.65,87.07,481.94
9.38,44.77,1020.41,85.26,473.9
20.87,63.31,1012.27,79.51,446.7
19.96,39.53,1006.16,62.77,460.49
27.63,70.17,1000.42,85.22,432.46
25.97,43.21,1011.9,88.73,434.83
15.94,44.85,1014.29,67.57,462.54
22.84,71.25,1001.9,96.45,433.85
22.66,61.27,1019.29,55.43,448.68
22.75,57.76,1017.83,66.54,452.33
13.64,34.03,1018.32,62.2,469.61
28.38,72.39,998.93,73.85,432.02
4.7,39.9,1007.45,91.02,487.78
27.78,77.17,1009.11,86.54,430.33
11.21,41.06,1021.75,77,474.03
16,43.34,1013.58,78.87,461.7
8.74,36.3,1015.18,61.97,438.63
13.73,41.92,1031.01,64.92,466.29
30.54,70.17,999.42,64.32,434.62
15.25,39.58,1012.1,73.05,466.21
21.7,70.32,1009.12,91.3,438.52
10.86,37.5,1013.36,75.56,473.75
14.35,49.83,1006.39,91.23,462.54
26.35,59.87,1013.24,73.63,447.26
15.48,53.82,1016.1,64.77,462.69
21.75,58.79,1012.42,87.58,447.58
30.31,77.24,1008.02,67.84,435.28
25.16,60.23,1011.21,68.31,444.98
17.3,57.76,1016.26,87.74,455.75
26.86,70.47,1007.18,72.38,434.59
19.24,56.89,1014.29,72.97,452.64
30.8,73.17,1010.51,51.93,432.24
22.49,58.82,1009.73,85.19,444.11
25.67,69.88,1007.84,83.32,441.35
26.63,43.77,1011.33,49.3,440.95
23.05,48.98,1015.64,49.33,446.05
29.3,69.48,1010.1,53.69,429.42
20.77,51.3,1013.89,88.72,450.97
29.96,67.83,1008,44.05,433.13
21.32,49.02,1008.81,85.81,445.65
13.89,41.49,1020.02,86.47,469.6
18.68,43.69,1016.68,48.88,463.02
22.34,52.84,1004.05,73.96,449.06
20.85,48.7,1007.11,87.2,449.57
28.4,75.23,1011.12,55.01,441.78
22.75,58.79,1011.44,84.47,445.67
27.24,71.25,1000.5,86.28,430.94
11.17,40.27,1009.54,74.56,476.18
19.65,45.01,1014.18,56.77,451.63
26.7,70.32,1011.04,86.41,438.46
27.23,49.16,1004.03,40.8,443.78
6.44,39.33,1011.8,93.5,490.57
15.34,41.96,1012.08,100.12,468.33
9.28,41.38,1021.96,72.22,486.18
10.07,40.92,1021.84,84.18,471.71
23.02,67.25,1017.17,72,443.44
14.85,40.8,1025.38,53.29,471.78
25.13,51.95,1005.42,62.05,447.7
17.77,52.9,1020.11,81.51,457.98
29.34,70.94,1007.82,62.43,433.57
25.82,59.43,1008.08,65.25,436.67
16.7,46.18,1011.4,95.51,458.05
25.02,47.45,1008.07,60.42,446.62
15.37,41.96,1011.58,96.76,466.02
